archetype_id,archetype_name,jurisdiction,regime,startYear,endYear,alignment
001,Rawlsian Reformer,United Kingdom,Stuart / Civil War / Commonwealth,1603,1688,-2.670
001,Rawlsian Reformer,United Kingdom,Hanoverian / Glorious Revolution Settlement,1688,1788,-0.991
001,Rawlsian Reformer,United Kingdom,Georgian Britain,1789,1819,-2.135
001,Rawlsian Reformer,United Kingdom,Reform Era,1820,1848,-0.999
001,Rawlsian Reformer,United Kingdom,Victorian Peak,1849,1874,-1.534
001,Rawlsian Reformer,United Kingdom,Late Victorian/Edwardian,1875,1913,-1.025
001,Rawlsian Reformer,United Kingdom,WWI & Lloyd George,1914,1922,-1.092
001,Rawlsian Reformer,United Kingdom,Interwar,1923,1938,-1.772
001,Rawlsian Reformer,United Kingdom,WWII Britain,1939,1945,-2.092
001,Rawlsian Reformer,United Kingdom,Attlee/Consensus,1946,1964,1.069
001,Rawlsian Reformer,United Kingdom,Wilson/Heath,1965,1978,1.390
001,Rawlsian Reformer,United Kingdom,Thatcher Era,1979,1990,-2.047
001,Rawlsian Reformer,United Kingdom,New Labour/Blair,1991,2009,1.452
001,Rawlsian Reformer,United Kingdom,Austerity/Brexit,2010,2026,-1.658
001,Rawlsian Reformer,France,Ancien Régime,1776,1788,-2.666
001,Rawlsian Reformer,France,Ancien Regime remnant,1789,1791,-2.756
001,Rawlsian Reformer,France,French Revolution,1792,1799,-2.210
001,Rawlsian Reformer,France,Napoleonic Empire,1800,1814,-1.716
001,Rawlsian Reformer,France,Restoration,1815,1829,-2.750
001,Rawlsian Reformer,France,July Monarchy,1830,1847,-2.039
001,Rawlsian Reformer,France,Second Republic,1848,1851,0.581
001,Rawlsian Reformer,France,Second Empire,1852,1870,-2.121
001,Rawlsian Reformer,France,Third Republic Early,1871,1899,0.806
001,Rawlsian Reformer,France,Third Republic Late,1900,1939,-0.002
001,Rawlsian Reformer,France,Vichy France,1940,1944,-2.939
001,Rawlsian Reformer,France,Provisional Government / Liberation,1945,1945,1.069
001,Rawlsian Reformer,France,Fourth Republic,1946,1957,1.031
001,Rawlsian Reformer,France,Fifth Republic Gaullist,1958,1980,-1.598
001,Rawlsian Reformer,France,Fifth Republic Modern,1981,2026,1.394
001,Rawlsian Reformer,Germany/Prussia,Frederickian Prussia,1776,1788,-2.273
001,Rawlsian Reformer,Germany/Prussia,Prussian Reform Era,1789,1814,-2.345
001,Rawlsian Reformer,Germany/Prussia,German Confederation,1815,1847,-2.591
001,Rawlsian Reformer,Germany/Prussia,1848 Revolution,1848,1849,0.248
001,Rawlsian Reformer,Germany/Prussia,Bismarck Era,1850,1890,-2.222
001,Rawlsian Reformer,Germany/Prussia,Wilhelmine,1891,1913,-2.097
001,Rawlsian Reformer,Germany/Prussia,WWI Germany,1914,1918,-2.840
001,Rawlsian Reformer,Germany/Prussia,Weimar Republic,1919,1932,0.871
001,Rawlsian Reformer,Germany/Prussia,Nazi Germany,1933,1945,-2.917
001,Rawlsian Reformer,Germany/Prussia,Occupied Germany,1945,1948,0.298
001,Rawlsian Reformer,Germany/Prussia,West Germany/Bonn Republic,1949,1989,0.535
001,Rawlsian Reformer,Germany/Prussia,East Germany/DDR,1949,1989,-2.541
001,Rawlsian Reformer,Germany/Prussia,Reunified Germany,1990,2026,1.571
001,Rawlsian Reformer,Russia/USSR,Tsarist Russia Late Catherine/Alexander I,1789,1825,-2.849
001,Rawlsian Reformer,Russia/USSR,Nicholas I,1826,1855,-2.826
001,Rawlsian Reformer,Russia/USSR,Great Reforms,1856,1881,-1.723
001,Rawlsian Reformer,Russia/USSR,Reaction/Late Tsarist,1882,1904,-2.817
001,Rawlsian Reformer,Russia/USSR,Revolution Era,1905,1917,-2.073
001,Rawlsian Reformer,Russia/USSR,Soviet Early/Lenin,1918,1928,-2.261
001,Rawlsian Reformer,Russia/USSR,Stalin,1929,1953,-2.838
001,Rawlsian Reformer,Russia/USSR,Khrushchev Thaw,1954,1964,-1.767
001,Rawlsian Reformer,Russia/USSR,Brezhnev Stagnation,1965,1984,-1.081
001,Rawlsian Reformer,Russia/USSR,Gorbachev/Collapse,1985,1991,0.043
001,Rawlsian Reformer,Russia/USSR,Yeltsin,1992,1999,-2.039
001,Rawlsian Reformer,Russia/USSR,Putin Era,2000,2026,-2.611
001,Rawlsian Reformer,Spain,Bourbon Reform Spain (Carlos III),1776,1788,-2.556
001,Rawlsian Reformer,Spain,Bourbon Spain/Napoleonic,1789,1813,-2.794
001,Rawlsian Reformer,Spain,Liberal-Absolutist struggle,1814,1833,-2.794
001,Rawlsian Reformer,Spain,Isabella/Moderate Monarchy,1834,1868,-1.830
001,Rawlsian Reformer,Spain,Sexenio/Restoration,1869,1897,-1.815
001,Rawlsian Reformer,Spain,Crisis/Primo,1898,1930,-2.322
001,Rawlsian Reformer,Spain,Second Republic,1931,1936,1.540
001,Rawlsian Reformer,Spain,Civil War/Franco,1936,1959,-2.703
001,Rawlsian Reformer,Spain,Late Franco,1960,1975,-2.468
001,Rawlsian Reformer,Spain,Transition,1976,1982,1.177
001,Rawlsian Reformer,Spain,PSOE/PP Democracy,1983,2007,1.571
001,Rawlsian Reformer,Spain,Crisis Spain,2008,2026,0.831
001,Rawlsian Reformer,Italy,Italian States/Napoleonic,1789,1814,-2.188
001,Rawlsian Reformer,Italy,Restoration/Risorgimento,1815,1860,0.104
001,Rawlsian Reformer,Italy,Liberal Italy,1861,1913,-1.799
001,Rawlsian Reformer,Italy,WWI Italy/Crisis,1914,1921,-2.348
001,Rawlsian Reformer,Italy,Fascist Italy,1922,1943,-2.847
001,Rawlsian Reformer,Italy,Post-war Republic,1946,1968,-1.443
001,Rawlsian Reformer,Italy,Years of Lead,1969,1983,-0.582
001,Rawlsian Reformer,Italy,Craxi/First Republic End,1984,1993,-1.549
001,Rawlsian Reformer,Italy,Second Republic,1994,2012,-0.937
001,Rawlsian Reformer,Italy,Populist Italy,2013,2026,-1.237
001,Rawlsian Reformer,Austria/Austria-Hungary,Josephine Habsburg Monarchy,1776,1788,-0.592
001,Rawlsian Reformer,Austria/Austria-Hungary,Habsburg Enlightened Absolutism,1789,1814,-2.291
001,Rawlsian Reformer,Austria/Austria-Hungary,Metternich System,1815,1847,-2.682
001,Rawlsian Reformer,Austria/Austria-Hungary,1848/Neo-Absolutism,1848,1866,-2.408
001,Rawlsian Reformer,Austria/Austria-Hungary,Austria-Hungary Dual Monarchy,1867,1913,-1.151
001,Rawlsian Reformer,Austria/Austria-Hungary,WWI/Collapse,1914,1918,-2.722
001,Rawlsian Reformer,Austria/Austria-Hungary,First Republic,1919,1933,-0.118
001,Rawlsian Reformer,Austria/Austria-Hungary,Austrofascism/Anschluss,1934,1945,-2.939
001,Rawlsian Reformer,Austria/Austria-Hungary,Second Republic Consensus,1945,1986,0.630
