ID,Archetype,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
001,"Rawlsian Reformer",Washington,Washington,Adams,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,ABSTAIN,Polk,Van Buren,ABSTAIN,Fremont,Lincoln,Lincoln,Grant,Greeley,ABSTAIN,Hancock,Cleveland,Cleveland,Cleveland,McKinley,ABSTAIN,Roosevelt,Taft,Wilson,Wilson,Harding,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
002,"Independent Social Democrat",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,ABSTAIN,Polk,Cass,ABSTAIN,Fremont,Lincoln,Lincoln,Grant,Grant,ABSTAIN,Hancock,ABSTAIN,ABSTAIN,Cleveland,Bryan,ABSTAIN,Roosevelt,Bryan,Wilson,Wilson,ABSTAIN,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,ABSTAIN,ABSTAIN,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
003,"Consensus Redistributionist",Washington,Washington,Adams,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,Scott,Buchanan,Lincoln,Lincoln,Grant,Greeley,Tilden,Garfield,Cleveland,Cleveland,Cleveland,McKinley,Bryan,Roosevelt,Bryan,Wilson,Wilson,Harding,Davis,Hoover,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Eisenhower,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
004,"Labor Reformer",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Cass,Pierce,Buchanan,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Cleveland,Cleveland,Cleveland,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Harding,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
005,"Pluralist Structuralist",Washington,Washington,Adams,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,ABSTAIN,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Garfield,Cleveland,Cleveland,Weaver,McKinley,Bryan,Roosevelt,Bryan,Wilson,Wilson,Harding,La Follette,Smith,Roosevelt,Roosevelt,Willkie,Roosevelt,Truman,Eisenhower,Eisenhower,Kennedy,Goldwater,Nixon,Nixon,Ford,Carter,Mondale,Bush,Bush,Clinton,Gore,Bush,Obama,Romney,Johnson,Biden,Harris
006,"Fairness Pragmatist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Taylor,Scott,Fillmore,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Cleveland,Cleveland,Cleveland,McKinley,McKinley,Roosevelt,Taft,Wilson,Wilson,Harding,Davis,Hoover,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Eisenhower,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
007,"Solidarist Reformer",Washington,Washington,Adams,ABSTAIN,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Taylor,ABSTAIN,Buchanan,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Cleveland,ABSTAIN,Cleveland,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Harding,Davis,Hoover,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Eisenhower,Eisenhower,Kennedy,Johnson,Nixon,Nixon,Carter,Carter,Reagan,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
008,"Procedural Redistributionist",Washington,Washington,Adams,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Van Buren,Pierce,Buchanan,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Cleveland,Cleveland,Cleveland,McKinley,Bryan,Roosevelt,Bryan,Wilson,Wilson,Harding,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Eisenhower,Kennedy,Johnson,Humphrey,Nixon,Carter,Carter,Mondale,Bush,Clinton,Clinton,Gore,Kerry,Obama,Obama,Clinton,Biden,Harris
010,"Bread-and-Butter Progressive",Washington,Washington,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Madison,ABSTAIN,ABSTAIN,Jackson,Adams,Jackson,Harrison,ABSTAIN,Polk,Taylor,Pierce,Fillmore,Bell,ABSTAIN,Grant,ABSTAIN,Tilden,ABSTAIN,ABSTAIN,ABSTAIN,Cleveland,Bryan,ABSTAIN,Parker,ABSTAIN,ABSTAIN,ABSTAIN,Harding,ABSTAIN,ABSTAIN,Roosevelt,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Johnson,Humphrey,Nixon,Carter,Carter,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,Obama,Obama,Clinton,Biden,ABSTAIN
011,"Jacobin Egalitarian",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Cass,Pierce,Fremont,Lincoln,Lincoln,Grant,Grant,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Johnson,Nixon,Nixon,Carter,Reagan,Mondale,Bush,Bush,Clinton,Nader,Bush,McCain,Obama,Trump,Biden,Harris
