token_count,source,compressed,signature,label,raw_lexicon,tokens
1,lexicon,no,AES:Authentic,Authentic,Authentic,Authentic
1,lexicon,no,AES:Fighter,Fighter,Fighter,Fighter
1,lexicon,no,AES:Pastoral,Pastoral,Pastoral,Pastoral
1,lexicon,no,AES:Statesman,Statesman,Statesman,Statesman
1,lexicon,no,AES:Technocrat,Technocrat,Technocrat,Technocrat
1,lexicon,no,AES:Visionary,Visionary,Visionary,Visionary
1,lexicon,no,CD:high,Traditionalist,Traditionalist,Traditionalist
1,lexicon,no,CD:low,Progressive,Progressive,Progressive
1,lexicon,no,CD:mid,Hinge,Hinge,Hinge
1,lexicon,no,COM:high,Dealmaker,Dealmaker,Dealmaker
1,lexicon,no,COM:low,Principled,Principled,Principled
1,lexicon,no,COM:mid,Practical,Practical,Practical
1,lexicon,no,CU:high,Pluralist,Pluralist,Pluralist
1,lexicon,no,CU:low,Assimilationist,Assimilationist,Assimilationist
1,lexicon,no,CU:mid,Civic-Pluralist,Civic-Pluralist,Civic-Pluralist
1,lexicon,no,ENG:high,All-In,All-In,All-In
1,lexicon,no,ENG:low,Tuned-Out,Tuned-Out,Tuned-Out
1,lexicon,no,ENG:mid,Casual,Casual,Casual
1,lexicon,no,EPS:Autonomous,Autonomous,Autonomous,Autonomous
1,lexicon,no,EPS:Empiricist,Empiricist,Empiricist,Empiricist
1,lexicon,no,EPS:Institutionalist,Institutionalist,Institutionalist,Institutionalist
1,lexicon,no,EPS:Intuitionist,Intuitionist,Intuitionist,Intuitionist
1,lexicon,no,EPS:Nihilist,Nihilist,Nihilist,Nihilist
1,lexicon,no,EPS:Traditionalist,Traditionalist,Traditionalist,Traditionalist
1,lexicon,no,MAT:high,Free-Marketeer,Free-Marketeer,Free-Marketeer
1,lexicon,no,MAT:low,Redistributionist,Redistributionist,Redistributionist
1,lexicon,no,MAT:mid,Mixed-Economy,Mixed-Economy,Mixed-Economy
1,lexicon,no,MOR:high,Universalist,Universalist,Universalist
1,lexicon,no,MOR:low,Particularist,Particularist,Particularist
1,lexicon,no,MOR:mid,Civic,Civic,Civic
1,lexicon,no,MORAL_CIRCLE:class,Class-Conscious,Class-Conscious,Class-Conscious
1,merger-full,no,MORAL_CIRCLE:ethnic_racial,Identity-Group Activist,Ethnic-Communitarian,Ethnic-Communitarian
1,merger-full,no,MORAL_CIRCLE:gender,Identity-Group Activist,Gender-Identitarian,Gender-Identitarian
1,lexicon,no,MORAL_CIRCLE:ideological,Partisan-Communitarian,Partisan-Communitarian,Partisan-Communitarian
1,lexicon,no,MORAL_CIRCLE:national,Nationalist,Nationalist,Nationalist
1,lexicon,no,MORAL_CIRCLE:religious,Religious-Communitarian,Religious-Communitarian,Religious-Communitarian
1,lexicon,no,MORAL_CIRCLE:universal,Universalist,Universalist,Universalist
1,lexicon,no,ONT_H:high,Malleabilist,Malleabilist,Malleabilist
1,lexicon,no,ONT_H:low,Essentialist,Essentialist,Essentialist
1,lexicon,no,ONT_H:mid,Tempered,Tempered,Tempered
1,lexicon,no,ONT_S:high,Institutional,Institutional,Institutional
1,lexicon,no,ONT_S:low,Anti-Institutional,Anti-Institutional,Anti-Institutional
1,lexicon,no,ONT_S:mid,Reformist,Reformist,Reformist
